/home/satya/Downloads/self drivnig car/IMG/center_2019_06_20_11_21_33_796.jpg, /home/satya/Downloads/self drivnig car/IMG/left_2019_06_20_11_21_33_796.jpg, /home/satya/Downloads/self drivnig car/IMG/right_2019_06_20_11_21_33_796.jpg, 0, 0, 0, 8.053156E-05
/home/satya/Downloads/self drivnig car/IMG/center_2019_06_20_11_21_33_912.jpg, /home/satya/Downloads/self drivnig car/IMG/left_2019_06_20_11_21_33_912.jpg, /home/satya/Downloads/self drivnig car/IMG/right_2019_06_20_11_21_33_912.jpg, 0, 0, 0, 7.873598E-05
/home/satya/Downloads/self drivnig car/IMG/center_2019_06_20_11_21_34_026.jpg, /home/satya/Downloads/self drivnig car/IMG/left_2019_06_20_11_21_34_026.jpg, /home/satya/Downloads/self drivnig car/IMG/right_2019_06_20_11_21_34_026.jpg, 0, 0, 0, 8.089304E-05
/home/satya/Downloads/self drivnig car/IMG/center_2019_06_20_11_21_34_155.jpg, /home/satya/Downloads/self drivnig car/IMG/left_2019_06_20_11_21_34_155.jpg, /home/satya/Downloads/self drivnig car/IMG/right_2019_06_20_11_21_34_155.jpg, 0, 0, 0, 7.800178E-05
/home/satya/Downloads/self drivnig car/IMG/center_2019_06_20_11_21_34_271.jpg, /home/satya/Downloads/self drivnig car/IMG/left_2019_06_20_11_21_34_271.jpg, /home/satya/Downloads/self drivnig car/IMG/right_2019_06_20_11_21_34_271.jpg, 0, 0.2449594, 0, 0.124372
/home/satya/Downloads/self drivnig car/IMG/center_2019_06_20_11_21_34_372.jpg, /home/satya/Downloads/self drivnig car/IMG/left_2019_06_20_11_21_34_372.jpg, /home/satya/Downloads/self drivnig car/IMG/right_2019_06_20_11_21_34_372.jpg, 0, 0.5462279, 0, 0.6152652
/home/satya/Downloads/self drivnig car/IMG/center_2019_06_20_11_21_34_472.jpg, /home/satya/Downloads/self drivnig car/IMG/left_2019_06_20_11_21_34_472.jpg, /home/satya/Downloads/self drivnig car/IMG/right_2019_06_20_11_21_34_472.jpg, 0, 0.8472211, 0, 1.427669
/home/satya/Downloads/self drivnig car/IMG/center_2019_06_20_11_21_34_565.jpg, /home/satya/Downloads/self drivnig car/IMG/left_2019_06_20_11_21_34_565.jpg, /home/satya/Downloads/self drivnig car/IMG/right_2019_06_20_11_21_34_565.jpg, 0, 1, 0, 2.560167
/home/satya/Downloads/self drivnig car/IMG/center_2019_06_20_11_21_34_675.jpg, /home/satya/Downloads/self drivnig car/IMG/left_2019_06_20_11_21_34_675.jpg, /home/satya/Downloads/self drivnig car/IMG/right_2019_06_20_11_21_34_675.jpg, 0, 1, 0, 3.976671
/home/satya/Downloads/self drivnig car/IMG/center_2019_06_20_11_21_34_776.jpg, /home/satya/Downloads/self drivnig car/IMG/left_2019_06_20_11_21_34_776.jpg, /home/satya/Downloads/self drivnig car/IMG/right_2019_06_20_11_21_34_776.jpg, 0, 1, 0, 5.142984
/home/satya/Downloads/self drivnig car/IMG/center_2019_06_20_11_21_34_894.jpg, /home/satya/Downloads/self drivnig car/IMG/left_2019_06_20_11_21_34_894.jpg, /home/satya/Downloads/self drivnig car/IMG/right_2019_06_20_11_21_34_894.jpg, -0.1025605, 1, 0, 6.524229
/home/satya/Downloads/self drivnig car/IMG/center_2019_06_20_11_21_35_009.jpg, /home/satya/Downloads/self drivnig car/IMG/left_2019_06_20_11_21_35_009.jpg, /home/satya/Downloads/self drivnig car/IMG/right_2019_06_20_11_21_35_009.jpg, -0.4508486, 1, 0, 7.846371
